time,Pressure,Flow ,event,evenеt title
1530058330,61.14,0,0,
1530058338,61.43,0,0,
1530058346,60.89,0,0,
1530058354,61.23,0,0,
1530058362,61.08,0,0,
1530058370,60.96,0,0,
1530058378,61.45,0,0,
1530058386,60.64,0,0,
1530058394,60.86,0,0,
1530058402,60.95,0,0,
1530058410,61.22,0,0,
1530058418,61.41,0,0,
1530058426,60.95,0,0,
1530058434,60.81,0,0,
1530058442,60.95,0,0,
1530058450,61.4,0,0,
1530058458,60.77,0,0,
1530058466,60.56,0,0,
1530058474,60.8,0,0,
1530058482,60.69,0,0,
1530058490,61.5,0,0,
1530058498,61.45,0,0,
1530058506,61.33,0,0,
1530058514,61.35,0,0,
1530058522,60.86,0,0,
1530058530,60.86,0,0,
1530058538,61.45,0,0,
1530058546,61.47,0,0,
1530058554,61.27,0,0,
1530058562,61.45,0,0,
1530058570,61.42,0,0,
1530058578,61.32,0,0,
1530058586,61.25,0,0,
1530058594,61.45,0,0,
1530058602,60.51,0,0,
1530058610,61.09,0,0,
1530058618,61.06,0,0,
1530058626,60.5,0,0,
1530058634,61.28,0,0,
1530058642,60.87,0,0,
1530058650,61.02,0,0,
1530058658,60.64,0,0,
1530058666,60.64,0,0,
1530058674,60.62,0,0,
1530058682,60.97,0,0,
1530058690,61.44,0,0,
1530058698,61.2,0,0,
1530058706,61.22,0,0,
1530058714,61.42,0,0,
1530058722,61.06,0,0,
1530058730,61.29,0,0,
1530058738,61.47,0,0,
1530058746,60.97,0,0,
1530058754,61.01,0,0,
1530058762,61.25,0,0,
1530058770,61.11,0,0,
1530058778,60.61,0,0,
1530058786,61.03,0,0,
1530058794,61.26,0,0,
1530058802,60.69,0,0,
1530058810,60.91,0,0,
1530058818,61.28,0,0,
1530058826,60.85,0,0,
1530058834,61.44,0,0,
1530058842,60.61,0,0,
1530058850,60.93,0,0,
1530058858,61.34,0,0,
1530058866,60.86,0,0,
1530058874,60.59,0,0,
1530058882,60.9,0,0,
1530058890,61.11,0,0,
1530058898,60.99,0,0,
1530058906,60.73,0,0,
1530058914,61.04,0,0,
1530058922,60.96,0,0,
1530058930,61.42,0,0,
1530058938,61.44,0,0,
1530058946,61.35,0,0,
1530058954,61.37,0,0,
1530058962,61.27,0,0,
1530058970,61.19,0,0,
1530058978,61.47,0,0,
1530058986,61.1,0,0,
1530058994,60.6,0,0,
1530059002,60.57,0,0,
1530059010,60.93,0,0,
1530059018,61.15,0,0,
1530059026,61,0,0,
1530059034,60.62,0,0,
1530059042,60.74,0,0,
1530059050,61.02,0,0,
1530059058,61.49,0,0,
1530059066,60.74,0,0,
1530059074,60.87,0,0,
1530059082,61.06,0,0,
1530059090,61.06,0,0,
1530059098,61.08,0,0,
1530059106,60.69,0,0,
1530059114,61.41,0,0,
1530059122,60.64,0,0,
1530059130,60.58,0,0,
1530059138,61.35,0,0,
1530059146,61.47,0,0,
1530059154,61.41,0,0,
1530059162,61.41,0,0,
1530059170,60.54,0,0,
1530059178,60.57,0,0,
1530059186,60.88,0,0,
1530059194,61.05,0,0,
1530059202,61.35,0,0,
1530059210,60.81,0,0,
1530059218,60.58,0,0,
1530059226,61.15,0,0,
1530059234,61.49,0,0,
1530059242,60.96,0,0,
1530059250,60.58,0,0,
1530059258,61.16,0,0,
1530059266,61.37,0,0,
1530059274,61.35,0,0,
1530059282,60.72,0,0,
1530059290,60.86,0,0,
1530059298,61.09,0,0,
1530059306,60.89,0,0,
1530059314,61.12,0,0,
1530059322,61.31,0,0,
1530059330,60.71,1.55,3,Shower
1530059338,59.17,1.55,3,Shower
1530059346,56.83,1.24,3,Shower
1530059354,55.28,1.79,3,Shower
1530059362,54.36,1.18,3,Shower
1530059370,59.13,1.12,3,Shower
1530059378,58.17,1.31,3,Shower
1530059386,58.45,1.55,3,Shower
1530059394,58.93,1.51,3,Shower
1530059402,58.1,1.99,3,Shower
1530059410,58.55,1.16,3,Shower
1530061090,58.31,1.22,3,Shower
1530061098,58.25,1.55,3,Shower
1530061106,58.71,1.79,3,Shower
1530061114,58.87,1.57,3,Shower
1530061122,58.56,1.51,3,Shower
1530061130,59.11,1.92,3,Shower
1530061138,59.18,1.36,3,Shower
1530061146,58.73,1.57,3,Shower
1530061154,58.51,1.73,3,Shower
1530061162,58.83,1.72,3,Shower
1530061170,59.34,1.35,3,Shower
1530061178,58.26,1.37,3,Shower
1530061186,58.4,1.61,3,Shower
1530061194,58.24,1.21,3,Shower
1530061202,58.98,2,3,Shower
1530061210,58.77,1.7,3,Shower
1530061218,58.8,1.24,3,Shower
1530061226,58.82,1.27,3,Shower
1530061234,58.29,1.82,3,Shower
1530061242,59.31,1.73,3,Shower
1530061250,58.59,1.01,3,Shower
1530061258,58.22,1.17,3,Shower
1530061266,58.16,1.25,3,Shower
1530061274,58.67,1.85,3,Shower
1530061282,58.51,1.47,3,Shower
1530061290,58.98,2,3,Shower
1530061298,59.15,1.46,3,Shower
1530061306,59.35,1.3,3,Shower
1530061314,59.18,1.88,3,Shower
1530061322,58.68,1.73,3,Shower
1530061330,59.31,1.22,3,Shower
1530061338,58.85,1.12,3,Shower
1530061346,59.07,1.57,3,Shower
1530061354,58.82,1.93,3,Shower
1530061362,58.21,1.54,3,Shower
1530061370,58.29,1.16,3,Shower
1530061378,58.38,1.79,3,Shower
1530061386,58.64,1.05,3,Shower
1530061394,58.48,1.94,3,Shower
1530061402,58.43,1.55,3,Shower
1530061410,58.64,1.79,3,Shower
1530061418,58.8,1.05,3,Shower
1530061426,58.18,1.28,3,Shower
1530061434,58.76,1.78,3,Shower
1530061442,58.38,1.95,3,Shower
1530061450,58.46,1.1,3,Shower
1530061458,58.88,1.02,3,Shower
1530061466,59.06,1.46,3,Shower
1530061474,59.09,1.02,3,Shower
1530061482,58.39,1.87,3,Shower
1530061490,58.27,1.15,3,Shower
1530061498,58.31,1.01,3,Shower
1530061506,58.73,1.32,3,Shower
1530061514,58.85,1.85,3,Shower
1530061522,59.35,1.6,3,Shower
1530061530,58.54,1.05,3,Shower
1530061538,59.2,1.41,3,Shower
1530061546,58.74,1.87,3,Shower
1530063130,58.43,1.74,3,Shower
1530063138,60.52,0,0,
1530063146,62.64,0,0,
1530063154,59.6,0,0,
1530063162,62.46,0,0,
1530063170,60.79,0,0,
1530063178,61.1,0,0,
1530063186,61.29,0,0,
1530063194,60.97,0,0,
1530063202,60.76,0,0,
1530063210,61.08,0,0,
1530063218,61.48,0,0,
1530063226,60.54,0,0,
1530063234,60.71,0,0,
1530063242,60.83,0,0,
1530063250,60.8,0,0,
1530063258,60.87,0,0,
1530063266,60.59,0,0,
1530063274,60.57,0,0,
1530063282,60.95,0,0,
1530063290,61,0,0,
1530063298,60.75,0,0,
1530063306,61.28,0,0,
1530063314,60.58,0,0,
1530063322,60.79,0,0,
1530063330,60.72,0,0,
1530063338,61.38,0,0,
1530063346,61,0,0,
1530063354,61.13,0,0,
1530063362,61.19,0,0,
1530063370,61.47,0,0,
1530063378,60.91,0,0,
1530063386,60.88,0,0,
1530063394,61.23,0,0,
1530063402,61.13,0,0,
1530063410,60.95,0,0,
1530063418,60.57,0,0,
1530063426,60.77,0,0,
1530063434,60.5,0,0,
1530063442,61.34,0,0,
1530063450,60.73,0,0,
1530063458,60.71,0,0,
1530063466,61.14,0,0,
1530063474,60.59,0,0,
1530063482,60.56,0,0,
1530063490,61.15,0,0,
1530063498,60.75,0,0,
1530063506,61.07,0,0,
1530063514,60.77,0,0,
1530063522,60.69,0,0,
1530063530,61,0,0,
1530063538,61.25,0,0,
1530063546,61.22,0,0,
1530063554,61.39,0,0,
1530063562,61.2,0,0,
1530063570,60.66,0,0,
1530063578,60.74,0,0,
1530063586,61.5,0,0,
1530063594,61.41,0,0,
1530063602,61.37,0,0,
1530063610,61.21,0,0,
1530063618,61.01,0,0,
1530063626,61.18,0,0,
1530063634,61.37,0,0,
1530063642,61.45,0,0,
1530063650,60.55,0,0,
1530063658,61.11,0,0,
1530063666,60.99,0,0,
1530063674,61.13,0,0,
1530063682,60.67,0,0,
1530063690,61.17,0,0,
1530063698,61.12,0,0,
1530063706,61.13,0,0,
1530063714,61.28,0,0,
1530063722,60.51,0,0,
1530063730,60.64,0,0,
1530063738,61.42,0,0,
1530063746,61.09,0,0,
1530063754,61.05,0,0,
1530063762,61.31,0,0,
1530063770,60.89,0,0,
1530063778,61.04,0,0,
1530063786,60.52,0,0,
1530063794,60.58,0,0,
1530063802,60.93,0,0,
1530063810,60.78,0,0,
1530063818,60.79,0,0,
1530063826,61.33,0,0,
1530063834,60.65,0,0,
1530063842,60.92,0,0,
